TIME_PERIOD;TYPE;UNIT;VALUE;;CONF_STATUS
2024-04;Combustible fuels;Gigawatt-hour;8360.927;;
2024-05;Combustible fuels;Gigawatt-hour;7809.25;;
2024-06;Combustible fuels;Gigawatt-hour;8130.987;;
2024-07;Combustible fuels;Gigawatt-hour;8444.056;;
2024-08;Combustible fuels;Gigawatt-hour;9000.809;;
2024-09;Combustible fuels;Gigawatt-hour;8655.741;;
2024-10;Combustible fuels;Gigawatt-hour;9836.028;;
2024-11;Combustible fuels;Gigawatt-hour;11136.064;;
2024-12;Combustible fuels;Gigawatt-hour;11631.39;;
2025-01;Combustible fuels;Gigawatt-hour;11868.176;;
2025-02;Combustible fuels;Gigawatt-hour;11457.068;;
2025-03;Combustible fuels;Gigawatt-hour;10073.206;;
2025-04;Combustible fuels;Gigawatt-hour;8525.728;;
2025-05;Combustible fuels;Gigawatt-hour;7956.403;;
2025-06;Combustible fuels;Gigawatt-hour;7069.499;;
2025-07;Combustible fuels;Gigawatt-hour;8546.508;;
2025-08;Combustible fuels;Gigawatt-hour;7861.585;;
2016-01;Combustible fuels;Percentage;85.335;;
2016-02;Combustible fuels;Percentage;80.899;;
2016-03;Combustible fuels;Percentage;86.220;;
2016-04;Combustible fuels;Percentage;85.422;;
2016-05;Combustible fuels;Percentage;86.232;;
2016-06;Combustible fuels;Percentage;87.904;;
2016-07;Combustible fuels;Percentage;87.202;;
2016-08;Combustible fuels;Percentage;88.168;;
2016-09;Combustible fuels;Percentage;89.062;;
2016-10;Combustible fuels;Percentage;84.773;;
2016-11;Combustible fuels;Percentage;84.173;;
2016-12;Combustible fuels;Percentage;82.067;;
2017-01;Combustible fuels;Percentage;90.764;;
2017-02;Combustible fuels;Percentage;88.716;;
2017-03;Combustible fuels;Percentage;88.142;;
2017-04;Combustible fuels;Percentage;86.486;;
2017-05;Combustible fuels;Percentage;89.955;;
2017-06;Combustible fuels;Percentage;89.075;;
2017-07;Combustible fuels;Percentage;92.434;;
2017-08;Combustible fuels;Percentage;92.073;;
2017-09;Combustible fuels;Percentage;89.026;;
2017-10;Combustible fuels;Percentage;84.568;;
2017-11;Combustible fuels;Percentage;87.742;;
2017-12;Combustible fuels;Percentage;83.621;;
2018-01;Combustible fuels;Percentage;85.016;;
2018-02;Combustible fuels;Percentage;93.416;;
2018-03;Combustible fuels;Percentage;90.024;;
2018-04;Combustible fuels;Percentage;86.363;;
2018-05;Combustible fuels;Percentage;91.114;;
2018-06;Combustible fuels;Percentage;92.277;;
2018-07;Combustible fuels;Percentage;93.043;;
2018-08;Combustible fuels;Percentage;93.238;;
2018-09;Combustible fuels;Percentage;90.766;;
2018-10;Combustible fuels;Percentage;87.865;;
2018-11;Combustible fuels;Percentage;91.279;;
2018-12;Combustible fuels;Percentage;88.194;;
2019-01;Combustible fuels;Percentage;87.603;;
2019-02;Combustible fuels;Percentage;85.443;;
2019-03;Combustible fuels;Percentage;83.265;;
2019-04;Combustible fuels;Percentage;86.881;;
2019-05;Combustible fuels;Percentage;88.515;;
2019-06;Combustible fuels;Percentage;90.474;;
2019-07;Combustible fuels;Percentage;90.574;;
2019-08;Combustible fuels;Percentage;93.073;;
2019-09;Combustible fuels;Percentage;88.033;;
2019-10;Combustible fuels;Percentage;89.074;;
2019-11;Combustible fuels;Percentage;87.474;;
2019-12;Combustible fuels;Percentage;84.697;;
2020-01;Combustible fuels;Percentage;84.184;;
2020-02;Combustible fuels;Percentage;80.116;;
2020-03;Combustible fuels;Percentage;84.218;;
2020-04;Combustible fuels;Percentage;84.254;;
2020-05;Combustible fuels;Percentage;85.556;;
2020-06;Combustible fuels;Percentage;88.090;;
2020-07;Combustible fuels;Percentage;87.739;;
2020-08;Combustible fuels;Percentage;90.078;;
2020-09;Combustible fuels;Percentage;88.580;;
2020-10;Combustible fuels;Percentage;86.445;;
2020-11;Combustible fuels;Percentage;87.478;;
2020-12;Combustible fuels;Percentage;85.194;;
