DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2017-02,659.337,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2017-03,762.293,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2017-04,587.526,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2017-05,593.466,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2017-06,563.840,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2017-07,595.725,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2017-08,548.134,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2017-09,506.260,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2017-10,501.294,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2017-11,569.815,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2017-12,455.155,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2018-01,437.121,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2018-02,273.777,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2018-03,435.028,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2018-04,381.519,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2018-05,378.577,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2018-06,414.772,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2018-07,393.924,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2018-08,440.600,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2018-09,389.457,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2018-10,403.152,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2018-11,448.468,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2018-12,390.909,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2019-01,365.768,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2019-02,381.585,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2019-03,458.458,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2019-04,405.909,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2019-05,407.467,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2019-06,389.600,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2019-07,397.438,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2019-08,332.406,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2019-09,287.379,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2019-10,345.039,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2019-11,319.047,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2019-12,289.990,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2020-01,287.610,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2020-02,272.388,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2020-03,376.987,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2020-04,351.389,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2020-05,325.173,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2020-06,349.626,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2020-07,399.737,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2020-08,404.505,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2020-09,422.644,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2020-10,392.094,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2020-11,425.781,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2020-12,477.939,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2021-01,404.038,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2021-02,498.546,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2021-03,535.973,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2021-04,588.680,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2021-05,977.705,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2021-06,557.889,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2021-07,483.680,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2021-08,566.062,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2021-09,549.018,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2021-10,579.036,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2021-11,641.655,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2021-12,513.288,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2022-01,606.900,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2022-02,636.816,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2022-03,922.640,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2022-04,447.203,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2022-05,501.059,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2022-06,395.587,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2022-07,368.418,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2022-08,347.692,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2022-09,374.630,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2022-10,322.758,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2022-11,390.588,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2022-12,306.275,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2023-01,358.271,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2023-02,393.408,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2023-03,423.589,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2023-04,333.892,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2023-05,344.994,,
ESTAT:NRG_CB_SFFM(1.0),20/11/25 23:00:00,Monthly,Exports,Hard coal,Thousand tonnes,Poland,2023-06,317.059,,
